name,invention,url_name,patent,induction_year,birth_date,death_date,meta1,meta2,meta3,meta4
Robert Widlar,Linear Integrated Circuits,robert-widlar,"['3,364,434']",2009,"Nov. 30, 1937","Feb. 27, 1991","U.S. Patent No. 3,364,434",Inducted in 2009,"BornNov. 30, 1937 - DiedFeb. 27, 1991",Military Service: U.S. Air Force
"Stephen Wilcox, Jr.",Improvement in Steam Generators,stephen-wilcox,"['65,042']",1997,"Feb. 12, 1830","Nov. 27, 1893","U.S. Patent No. 65,042",Inducted in 1997,"BornFeb. 12, 1830 - DiedNov. 27, 1893",
Robert R. Williams,Vitamin Synthesis,robert-r-williams,"['2,049,988']",1991,"Feb. 16, 1886","Oct. 2, 1965","U.S. Patent No. 2,049,988",Inducted in 1991,"BornFeb. 16, 1886 - DiedOct. 2, 1965",
Sam B. Williams,Small Fan-Jet Engine,sam-b-williams,"['3,357,176']",2003,"May 7, 1921","June 22, 2009","U.S. Patent No. 3,357,176",Inducted in 2003,"BornMay 7, 1921 - DiedJune 22, 2009",
Robert H. Willson,Plasma Display,robert-h-willson,"['3,559,190']",2013,"Nov. 14, 1936",,"U.S. Patent No. 3,559,190",Inducted in 2013,"BornNov. 14, 1936",
Field Winslow,Polymer Cable Sheath,field-winslow,"['2,967,845']",2010,"June 10, 1916","Dec. 16, 2009","U.S. Patent No. 2,967,845",Inducted in 2010,"BornJune 10, 1916 - DiedDec. 16, 2009",
Alexander Winton,"Automobile, Bicycle, and Diesel Applications",alexander-winton,"['582,108']",2006,"June 20, 1860","June 21, 1932","U.S. Patent No. 582,108",Inducted in 2006,"BornJune 20, 1860 - DiedJune 21, 1932",
N. Joseph Woodland,First Optically Scanned Bar Code,n-joseph-woodland,"['2,612,994']",2011,"Sept. 6, 1921","Dec. 9, 2012","U.S. Patent No. 2,612,994",Inducted in 2011,"BornSept. 6, 1921 - DiedDec. 9, 2012",Military Service: U.S. Army
Granville Woods,Railway Telegraphy,granville-woods,"['373,383']",2006,"April 23, 1856","Jan. 30, 1910","U.S. Patent No. 373,383",Inducted in 2006,"BornApril 23, 1856 - DiedJan. 30, 1910",
Steve Wozniak,Personal Computer,steve-wozniak,"['4,136,359']",2000,"Aug. 11, 1950",,"U.S. Patent No. 4,136,359",Inducted in 2000,"BornAug. 11, 1950",
Orville Wright,Airplane,orville-wright,"['821,393']",1975,"Aug. 19, 1871","Jan. 30, 1948","U.S. Patent No. 821,393",Inducted in 1975,"BornAug. 19, 1871 - DiedJan. 30, 1948",
Wilbur Wright,Airplane,wilbur-wright,"['821,393']",1975,"April 16, 1867","May 30, 1912","U.S. Patent No. 821,393",Inducted in 1975,"BornApril 16, 1867 - DiedMay 30, 1912",
Margaret Wu,Synthetic Lubricants,margaret-wu,"['4,827,064', '4,827,073']",2022,"June 28, 1950",,"U.S. Patent Nos. 4,827,064; 4,827,073",Inducted in 2022,"BornJune 28, 1950",
Peter Wurman,Mobile Robotic Material Handling for Order Fulfillment,peter-wurman,"['8,649,899']",2022,"July 24, 1965",,"U.S. Patent No. 8,649,899",Inducted in 2022,"BornJuly 24, 1965",
James J. Wynne,Excimer Laser Surgery,james-j-wynne,"['4,784,135']",2002,"March 19, 1943",,"U.S. Patent No. 4,784,135",Inducted in 2002,"BornMarch 19, 1943",
"Linus Yale, Jr.",Door Lock,linus-yale,"['31,278']",2006,"April 4, 1821","Dec. 25, 1868","U.S. Patent No. 31,278",Inducted in 2006,"BornApril 4, 1821 - DiedDec. 25, 1868",
Ioannis V. Yannas,Regenerated Skin,ioannis-v-yannas,"['4,418,691']",2015,"April 14, 1935",,"U.S. Patent No. 4,418,691",Inducted in 2015,"BornApril 14, 1935",
Alejandro Zaffaroni,Bandage for Administering Drugs,alejandro-zaffaroni,"['3,598,122']",2012,"Feb. 27, 1923","March 1, 2014","U.S. Patent No. 3,598,122",Inducted in 2012,"BornFeb. 27, 1923 - DiedMarch 1, 2014",
Frank J. Zamboni,Ice Rink Resurfacing Machine,frank-j-zamboni,"['2,642,679']",2007,"Jan. 16, 1901","July 27, 1988","U.S. Patent No. 2,642,679",Inducted in 2007,"BornJan. 16, 1901 - DiedJuly 27, 1988",
Xiaowei Zhuang,Stochastic Optical Reconstruction Microscopy (STORM),xiaowei-zhuang,"['7,776,613']",2024,"Jan. 21, 1972",,"U.S. Patent No. 7,776,613",Inducted in 2024,"BornJan. 21, 1972",
Vladimir Zworykin,Cathode-Ray Tube,vladimir-zworykin,"['2,139,296']",1977,"July 30, 1889","July 29, 1982","U.S. Patent No. 2,139,296",Inducted in 1977,"BornJuly 30, 1889 - DiedJuly 29, 1982",
Frank Zybach,Center-Pivot Irrigation,frank-zybach,"['2,604,359']",2022,"July 10, 1894","Aug. 19, 1980","U.S. Patent No. 2,604,359",Inducted in 2022,"BornJuly 10, 1894 - DiedAug. 19, 1980",
